target,usrcat,electroshape
ppara,0.46204922685986161,0.73521470858563998
glcm,0.368912615215017,0.69914973103736899
rxra,0.77027130010669098,0.69684499314128956
mapk2,0.48289188424922236,0.64732774059760578
mp2k1,0.49692643945085718,0.7737261799057441
thb,0.66666666666666663,0.51629818594104304
plk1,0.66106139438085332,0.60969823100936527
fa10,0.56601845474951529,0.60470950030609116
comt,0.48174689021092487,0.83355868036776637
aofb,0.42754393424036286,0.48122165532879824
fa7,0.82021913805697577,0.69469685902118339
casp3,0.57320000000000004,0.62548571428571431
cxcr4,0.51914807847352862,0.55038968019349643
src,0.47474082666122186,0.45138879838276413
adrb1,0.3110781640319597,0.58840649491809849
mk10,0.33818938605619142,0.44357729217250552
vgfr2,0.28916233090530696,0.56353407908428732
gria2,0.53774558151662533,0.63693614030314372
reni,0.37603242326516167,0.50658347188002861
egfr,0.62749630177514792,0.72607205182137569
bace1,0.51790413433946225,0.62122223403124655
dhi1,0.49398762255857381,0.56460846224954619
pgh2,0.69583027439965117,0.69279971343554614
dyr,0.57674274869208009,0.57942414064353409
gcr,0.65913701339878661,0.5689231439036625
wee1,0.837817678086206,0.51212105066865576
fnta,0.56913496414779041,0.48553668633927427
try1,0.68702181132128015,0.66216209160337236
pparg,0.54680149752548646,0.72507743017892645
pgh1,0.5269757622894875,0.3433120109204616
cp2c9,0.46561557526351938,0.43962196542148169
hivpr,0.58409938207371437,0.49082719903392819
esr1,0.7250851501669936,0.54367141574394151
igf1r,0.37062416790664887,0.63662972824810082
tgfr1,0.54244500449589039,0.66783602031382594
thrb,0.5434393467876939,0.36996388878771819
urok,0.42144047161348203,0.66102780981673714
mk14,0.56894263788109534,0.55301442264624212
ital,0.35727311241688003,0.71163587467074363
mk01,0.52435174162828013,0.77671963148905343
ace,0.65423426624840697,0.84357002377217916
prgr,0.55997889781673571,0.52200257690122553
fpps,0.63208358130000664,0.88806233331129192
pde5a,0.49748212408413517,0.42238823038464318
mcr,0.77567183011624474,0.44449515423232838
adrb2,0.27894138902652033,0.63025689533504503
nram,0.44856342829315798,0.88377566755945136
hdac2,0.22602570439940681,0.5381152460984393
pygm,0.61303477993228683,0.56598184056632816
rock1,0.54041592855929532,0.6014220194617681
mmp13,0.64309142748950299,0.6652744829429651
parp1,0.62572743586576673,0.68522823867888194
drd3,0.22548623182847088,0.70001781235657468
nos1,0.33744247205785671,0.57600080356490602
hivint,0.42411446283776194,0.62388535747175489
met,0.7729441010481054,0.49486865090029564
grik1,0.59773199445983383,0.71370758310249305
ada17,0.56530457352210872,0.65537753945126309
braf,0.66657672100442844,0.42048538912080757
csf1r,0.57101814269646445,0.59407550491466576
pa2ga,0.60350920701841404,0.62229524459048924
fak1,0.51485072329947679,0.44783010156971376
fkb1a,0.47679426800305924,0.56162030887305614
hs90a,0.76665600000000012,0.50047999999999992
lck,0.31309205576122912,0.63687139460951925
cdk2,0.67169490141393584,0.4296714530687622
esr2,0.80077395664148021,0.54484146599816397
aces,0.18464898751633035,0.63097419799680654
hivrt,0.57020334491735669,0.43967123904966932
kpcb,0.76895811654526536,0.62830059833506768
kif11,0.75379422298951271,0.58355020742611252
dpp4,0.54516934208638934,0.47881366486835625
kith,0.74546602387511485,0.87327823691460049
def,0.82712858300219905,0.60248447204968958
inha,0.56060305494941487,0.68081729815512804
pur2,0.98581718274300134,0.95591693274918932
hdac8,0.51267441011030757,0.74647527211629772
hxk4,0.67679335358670722,0.38948477896955797
aldr,0.54033057851239663,0.59573347107438013
ppard,0.48228925540123457,0.81827498070987659
ptn1,0.22109629629629632,0.66099753086419755
tysy,0.79432594782932342,0.61503189586542739
abl1,0.27169204251651824,0.31955185291582877
hmdh,0.57635820628404599,0.63306338855270083
cah2,0.41057334432930542,0.94431783140306214
xiap,0.83330328706207557,0.82110450093143439
tryb1,0.30754762149037312,0.47963475941315276
fgfr1,0.45361484871251967,0.54746943514787239
akt2,0.37592797783933518,0.80969529085872571
ada,0.76512149641629268,0.69435056232154313
cp3a4,0.50388938217638446,0.42469397202680448
jak2,0.58597120765517541,0.46033576829424577
kit,0.35791446208112876,0.37518896447467875
akt1,0.32148505831922164,0.67749777844843484
sahh,0.98939058171745153,0.98332409972299162
lkha4,0.50601316850309053,0.72193294813222253
andr,0.6989423424938489,0.44413937827433292
pnph,0.71349628838254531,0.64327948571533822
pyrd,0.696257518378258,0.6720594787257741
fabp4,0.71498922745460136,0.86734379809172046
aa2ar,0.56230907886166082,0.84279890388805279
ampc,0.48607038123167157,0.79765395894428159
